id,text,data,score
1,@arthurjunior18 tweeted: RT @tefa_1921: O MITO CONVOCOU A NAÃ‡ÃƒO AZUL! #QuintaAzul @Cruzeiro #cruzeiro https://t.co/Wigm3lmWkH,03/10/2018 17:32:00,
2,@gmbaiao tweeted: RT @tefa_1921: O MITO CONVOCOU A NAÃ‡ÃƒO AZUL! #QuintaAzul @Cruzeiro #cruzeiro https://t.co/Wigm3lmWkH,03/10/2018 17:32:00,
3,"@GuilhermeBossi tweeted: RT @Victorgmsilva: DedÃ©, no Instagram: â€œquinta-feira vamos virar. Sangue nos olhos. Levanta de azul, se for tomar sua cerveja, toma ela azuâ€¦",03/10/2018 17:32:00,
4,@DanielLinzmeyer tweeted: RT @benjaminback: A semifinal da Libertadores serÃ¡ entre #GrÃªmio x #RiverPlate e #Palmeiras x #Cruzeiro #fsradiobrasil,03/10/2018 17:31:00,
5,@flaviamendhood tweeted: RT @tefa_1921: O MITO CONVOCOU A NAÃ‡ÃƒO AZUL! #QuintaAzul @Cruzeiro #cruzeiro https://t.co/Wigm3lmWkH,03/10/2018 17:31:00,
6,@Junior_Giil tweeted: RT @carolinacarli: Eu tÃ´ arrepiada com essa sinergia entre a torcida do Cruzeiro e os jogadores. Temos que acreditar e confiar SIM! Essa eqâ€¦,03/10/2018 17:31:00,
7,@Junior_Giil tweeted: RT @tefa_1921: O MITO CONVOCOU A NAÃ‡ÃƒO AZUL! #QuintaAzul @Cruzeiro #cruzeiro https://t.co/Wigm3lmWkH,03/10/2018 17:30:00,
8,@PedranoE tweeted: RT @tefa_1921: O MITO CONVOCOU A NAÃ‡ÃƒO AZUL! #QuintaAzul @Cruzeiro #cruzeiro https://t.co/Wigm3lmWkH,03/10/2018 17:30:00,
9,@diih_guilbert tweeted: RT @tefa_1921: O MITO CONVOCOU A NAÃ‡ÃƒO AZUL! #QuintaAzul @Cruzeiro #cruzeiro https://t.co/Wigm3lmWkH,03/10/2018 17:30:00,
10,@Geiderjunio tweeted: RT @tefa_1921: O MITO CONVOCOU A NAÃ‡ÃƒO AZUL! #QuintaAzul @Cruzeiro #cruzeiro https://t.co/Wigm3lmWkH,03/10/2018 17:30:00,
11,@1xbit_pt tweeted: https://t.co/5jHlnL6OwU,03/10/2018 00:00:00,
12,#Boca terÃ¡ que defender o 2-0 obtido na primeira partida das quartas-de-final doâ€¦ https://t.co/4QHVrLD6BjWed Oct 03 17:30:05 +0000 2018,03/10/2018 00:00:00,
13,"@biia_098 tweeted: RT @Victorgmsilva: DedÃ©, no Instagram: â€œquinta-feira vamos virar. Sangue nos olhos. Levanta de azul, se for tomar sua cerveja, toma ela azuâ€¦",03/10/2018 17:29:00,
14,@shakyoncx tweeted: RT @carolinacarli: Eu tÃ´ arrepiada com essa sinergia entre a torcida do Cruzeiro e os jogadores. Temos que acreditar e confiar SIM! Essa eqâ€¦,03/10/2018 17:29:00,
15,"@paulosouza2769 tweeted: RT @AzulDanbury: Salve Salve, NaÃ§Ã£o Azul de Danbury!",03/10/2018 00:00:00,
16,Convocamos os Cruzeirenses para juntos escrever mais uma pÃ¡gina herÃ³ica imortais!,03/10/2018 00:00:00,
17,Avâ€¦Wed Oct 03 17:27:28 +0000 2018,03/10/2018 00:00:00,
18,@matheus_jacare tweeted: RT @tefa_1921: O MITO CONVOCOU A NAÃ‡ÃƒO AZUL! #QuintaAzul @Cruzeiro #cruzeiro https://t.co/Wigm3lmWkH,03/10/2018 17:26:00,
19,@Leandro_gomes09 tweeted: RT @tefa_1921: O MITO CONVOCOU A NAÃ‡ÃƒO AZUL! #QuintaAzul @Cruzeiro #cruzeiro https://t.co/Wigm3lmWkH,03/10/2018 17:25:00,
20,@__CELIN tweeted: RT @tefa_1921: O MITO CONVOCOU A NAÃ‡ÃƒO AZUL! #QuintaAzul @Cruzeiro #cruzeiro https://t.co/Wigm3lmWkH,03/10/2018 17:25:00,
21,@ovzrdose tweeted: RT @tefa_1921: O MITO CONVOCOU A NAÃ‡ÃƒO AZUL! #QuintaAzul @Cruzeiro #cruzeiro https://t.co/Wigm3lmWkH,03/10/2018 17:25:00,
22,"@nacaoazuldevga tweeted: RT @nayhonoratoo: Mais uma caravana lotada! Bora apoiar, torcer e cantar.. Buscaremos a classificaÃ§Ã£o! Oh BH, oh BH olha quem tÃ¡ chegando Ã©â€¦",03/10/2018 17:24:00,
23,@DiarioCeleste tweeted: RT @luotoni: Nunca foi sÃ³ futebol!!! Ã‰ amor!!! ðŸ’™ðŸ’™ðŸ’™ðŸ’™ðŸ’™ðŸ’™ðŸ’™ðŸ’™ #copadobrasil2018 #cruzeiro https://t.co/PKgkp2Tb6k,03/10/2018 17:23:00,
24,@vbittencourt07 tweeted: RT @tefa_1921: O MITO CONVOCOU A NAÃ‡ÃƒO AZUL! #QuintaAzul @Cruzeiro #cruzeiro https://t.co/Wigm3lmWkH,03/10/2018 17:23:00,
25,@_rubim11 tweeted: RT @tefa_1921: O MITO CONVOCOU A NAÃ‡ÃƒO AZUL! #QuintaAzul @Cruzeiro #cruzeiro https://t.co/Wigm3lmWkH,03/10/2018 17:23:00,
26,@mat_bonfim tweeted: RT @tefa_1921: O MITO CONVOCOU A NAÃ‡ÃƒO AZUL! #QuintaAzul @Cruzeiro #cruzeiro https://t.co/Wigm3lmWkH,03/10/2018 17:22:00,
27,@eni_lorak tweeted: RT @tefa_1921: O MITO CONVOCOU A NAÃ‡ÃƒO AZUL! #QuintaAzul @Cruzeiro #cruzeiro https://t.co/Wigm3lmWkH,03/10/2018 17:22:00,
28,@luotoni tweeted: Nunca foi sÃ³ futebol!!! Ã‰ amor!!! ðŸ’™ðŸ’™ðŸ’™ðŸ’™ðŸ’™ðŸ’™ðŸ’™ðŸ’™ #copadobrasil2018 #cruzeiro https://t.co/PKgkp2Tb6k,03/10/2018 17:21:00,
29,@mullersilva31 tweeted: RT @tefa_1921: O MITO CONVOCOU A NAÃ‡ÃƒO AZUL! #QuintaAzul @Cruzeiro #cruzeiro https://t.co/Wigm3lmWkH,03/10/2018 17:21:00,
30,"@ForcaAzul_Usa tweeted: Salve Salve, NaÃ§Ã£o Azul de Danbury!",03/10/2018 00:00:00,
31,Convocamos os Cruzeirenses para juntos escrever mais uma pÃ¡gina herÃ³ica imortaâ€¦ https://t.co/woXeR2jzcDWed Oct 03 17:20:44 +0000 2018,03/10/2018 00:00:00,
32,@ourcimorelli tweeted: RT @tefa_1921: O MITO CONVOCOU A NAÃ‡ÃƒO AZUL! #QuintaAzul @Cruzeiro #cruzeiro https://t.co/Wigm3lmWkH,03/10/2018 17:20:00,
